,Deg,Cc,Ne,id
1,2752.480748,0.810723038,132.0440476,1
2,3196.376905,0.860312053,149.9403822,1
3,2494.360067,0.844909835,140.7950961,1
4,3060.937663,0.771397006,140.6584007,1
5,2785.577168,0.80121653,134.352067,1
6,3530.643861,0.802932768,154.9993442,1
7,3223.627088,0.888194154,145.4769693,1
8,3093.758656,0.852307215,139.1668461,1
1,2918.671602,0.84175737,137.672792,2
10,2588.583243,0.636603983,105.4628724,2
11,2814.577716,0.792155471,118.262596,2
15,2326.194244,0.709601748,95.61359395,2
16,2301.665412,0.528519874,76.35328947,2
17,2630.871498,0.715000414,113.2531277,2
19,3243.625678,0.830723795,166.4552433,2
2,3463.358397,0.801959849,153.3305265,2
20,3267.540739,0.839469153,150.47567,2
21,3988.331047,0.841759155,166.319619,2
22,3200.14531,0.831128648,155.8068906,2
23,2547.38805,0.786793388,106.9779539,2
3,3295.508917,0.831207147,154.5995165,2
4,3334.818028,0.812272201,154.6611166,2
5,2060.225292,0.738142543,89.71109918,2
6,2476.713611,0.742733133,115.0957435,2
7,3537.837629,0.849485747,162.0264424,2
8,3405.238582,0.855512307,141.6432762,2
9,3149.821529,0.822187997,150.6271219,2
1,3219.164964,0.743517574,153.9100593,3
10,2937.641669,0.802839228,137.5026758,3
14,3172.467625,0.850099878,155.3170277,3
15,2752.230679,0.804040293,126.8447948,3
16,3358.648842,0.886305106,160.2132601,3
17,3003.25081,0.80704577,147.169635,3
18,2274.445322,0.84436326,107.78445,3
2,3629.301402,0.859181409,170.2073038,3
20,4172.241332,0.829292907,243.2283683,3
21,2970.932611,0.833514657,136.3599065,3
4,2654.454776,0.714094061,111.4537252,3
5,2534.981726,0.727065166,111.8639554,3
6,2681.424681,0.794143375,122.553543,3
7,6247.753952,0.802354369,241.8805153,3
8,3386.180029,0.844640909,158.5439465,3
9,3378.272928,0.892574834,216.900293,3
501,2820.794395,0.855987741,116.3645786,4
502,3287.59656,0.85555573,153.6450255,4
503,2939.970838,0.856676559,123.3705877,4
504,3102.476933,0.863834848,128.012069,4
505,2281.199434,0.844010812,109.1659368,4
506,3180.72072,0.839716746,131.3989949,4
507,2737.738498,0.887824063,127.781008,4
508,4129.399633,0.831617431,172.5204171,4
509,2609.951389,0.860695042,117.5128721,4
510,3342.631376,0.885284664,136.3449863,4
511,2690.366442,0.876551519,104.1781328,4